,Unnamed: 0,product,link,Price,PartNumber,OnlineStock,StoreURL,9208,9210,0227,0231,0245,0247,0285,0290,0219
300,300,Hayes Valley Cabernet Sauvignon Central Coast,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDisplay?catalogId=10051&storeId=10051&productId=1941520&langId=-1&partNumber=000003930prod&errorViewName=ProductDisplayErrorView&categoryId=1333941&top_category=25588&parent_category_rn=1333936&urlLangId=&variety=Cabernet+Sauvignon&categoryType=Wines&fromURL=%2fwebapp%2fwcs%2fstores%2fservlet%2fCatalogSearchResultView%3fstoreId%3d10051%26catalogId%3d10051%26langId%3d-1%26categoryId%3d1333941%26variety%3dCabernet%2bSauvignon%26categoryType%3dWines%26top_category%3d%26parent_category_rn%3d%26sortBy%3d5%26searchSource%3dE%26pageView%3d%26beginIndex%3d0,6.49,3930,None Available,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDetailInStore?ItemCode=000003930&catalogId=10051&storeId=10051&langId=-1&prodlistCatId=1333941&parent_category_rn=1333936&ProdName=Hayes%20Valley%20Cabernet%20Sauvignon%20Central%20Coast&fromURL=/webapp/wcs/stores/servlet/CatalogSearchResultView?storeId=10051%26catalogId=10051%26langId=-1%26categoryId=1333941%26variety=Cabernet+Sauvignon%26categoryType=Wines%26top_category=%26parent_category_rn=%26sortBy=5%26searchSource=E%26pageView=%26beginIndex=0,,,,,,,,,
301,301,Principato Pinot Grigio,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDisplay?catalogId=10051&storeId=10051&productId=1941550&langId=-1&partNumber=000003963prod&errorViewName=ProductDisplayErrorView&categoryId=1334028&top_category=1334028&parent_category_rn=1334028&urlLangId=&categoryType=Wines&fromURL=%2fwebapp%2fwcs%2fstores%2fservlet%2fCatalogSearchResultView%3fstoreId%3d10051%26catalogId%3d10051%26langId%3d-1%26categoryId%3d1334028%26categoryType%3d%26top_category%3d%26parent_category_rn%3d%26sortBy%3d5%26searchSource%3dE%26pageView%3d%26beginIndex%3d330,5.99,3963,None Available,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDetailInStore?ItemCode=000003963&catalogId=10051&storeId=10051&langId=-1&prodlistCatId=1334028&parent_category_rn=1334028&ProdName=Principato%20Pinot%20Grigio&fromURL=/webapp/wcs/stores/servlet/CatalogSearchResultView?storeId=10051%26catalogId=10051%26langId=-1%26categoryId=1334028%26categoryType=%26top_category=%26parent_category_rn=%26sortBy=5%26searchSource=E%26pageView=%26beginIndex=330,,,,,,,,,
302,302,Wild Shot Mezcal Silver 87 Proof,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDisplay?catalogId=10051&storeId=10051&productId=1941576&langId=-1&partNumber=000003987prod&errorViewName=ProductDisplayErrorView&categoryId=1334009&top_category=25208&parent_category_rn=25208&urlLangId=&variety=Tequilas&categoryType=Spirits&fromURL=%2fwebapp%2fwcs%2fstores%2fservlet%2fCatalogSearchResultView%3fstoreId%3d10051%26catalogId%3d10051%26langId%3d-1%26categoryId%3d1334009%26variety%3dTequilas%26categoryType%3dSpirits%26top_category%3d%26parent_category_rn%3d%26sortBy%3d5%26searchSource%3dE%26pageView%3d%26beginIndex%3d0,23.99,3987,None Available,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDetailInStore?ItemCode=000003987&catalogId=10051&storeId=10051&langId=-1&prodlistCatId=1334009&parent_category_rn=25208&ProdName=Wild%20Shot%20Mezcal%20Silver%2087%20Proof&fromURL=/webapp/wcs/stores/servlet/CatalogSearchResultView?storeId=10051%26catalogId=10051%26langId=-1%26categoryId=1334009%26variety=Tequilas%26categoryType=Spirits%26top_category=%26parent_category_rn=%26sortBy=5%26searchSource=E%26pageView=%26beginIndex=0,14,16,16,15,5,16,11,11,
303,303,Ravens Wood Vintners Blend Petite Sirah California,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDisplay?catalogId=10051&storeId=10051&productId=1941734&langId=-1&partNumber=000004165prod&errorViewName=ProductDisplayErrorView&categoryId=1334028&top_category=1334028&parent_category_rn=1334028&urlLangId=&categoryType=Wines&fromURL=%2fwebapp%2fwcs%2fstores%2fservlet%2fCatalogSearchResultView%3fstoreId%3d10051%26catalogId%3d10051%26langId%3d-1%26categoryId%3d1334028%26categoryType%3d%26top_category%3d%26parent_category_rn%3d%26sortBy%3d5%26searchSource%3dE%26pageView%3d%26beginIndex%3d330,10.39,4165,None Available,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDetailInStore?ItemCode=000004165&catalogId=10051&storeId=10051&langId=-1&prodlistCatId=1334028&parent_category_rn=1334028&ProdName=Ravens%20Wood%20Vintners%20Blend%20Petite%20Sirah%20California&fromURL=/webapp/wcs/stores/servlet/CatalogSearchResultView?storeId=10051%26catalogId=10051%26langId=-1%26categoryId=1334028%26categoryType=%26top_category=%26parent_category_rn=%26sortBy=5%26searchSource=E%26pageView=%26beginIndex=330,14,16,16,15,5,16,11,,
304,304,Pennsylvania Dutch Pumpkin Cream 25 Proof,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDisplay?catalogId=10051&storeId=10051&productId=1941762&langId=-1&partNumber=000004190prod&errorViewName=ProductDisplayErrorView&categoryId=1333990&top_category=25208&parent_category_rn=25208&urlLangId=&variety=Cordials%2fLiqueurs&categoryType=Spirits&fromURL=%2fwebapp%2fwcs%2fstores%2fservlet%2fCatalogSearchResultView%3fstoreId%3d10051%26catalogId%3d10051%26langId%3d-1%26categoryId%3d1333990%26variety%3dCordials%252fLiqueurs%26categoryType%3dSpirits%26top_category%3d%26parent_category_rn%3d%26sortBy%3d5%26searchSource%3dE%26pageView%3d%26beginIndex%3d45,7.19,4190,None Available,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDetailInStore?ItemCode=000004190&catalogId=10051&storeId=10051&langId=-1&prodlistCatId=1333990&parent_category_rn=25208&ProdName=Pennsylvania%20Dutch%20Pumpkin%20Cream%2025%20Proof&fromURL=/webapp/wcs/stores/servlet/CatalogSearchResultView?storeId=10051%26catalogId=10051%26langId=-1%26categoryId=1333990%26variety=Cordials%2fLiqueurs%26categoryType=Spirits%26top_category=%26parent_category_rn=%26sortBy=5%26searchSource=E%26pageView=%26beginIndex=45,14,12,16,15,5,16,11,11,5
305,305,Fulton's Harvest Pumpkin Pie Cream Liqueur 25 Proof,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDisplay?catalogId=10051&storeId=10051&productId=1941774&langId=-1&partNumber=000004201prod&errorViewName=ProductDisplayErrorView&categoryId=1334030&top_category=1334028&parent_category_rn=1334028&urlLangId=&categoryType=Spirits&fromURL=%2fwebapp%2fwcs%2fstores%2fservlet%2fCatalogSearchResultView%3fstoreId%3d10051%26catalogId%3d10051%26langId%3d-1%26categoryId%3d1334030%26categoryType%3d%26top_category%3d%26parent_category_rn%3d%26sortBy%3d5%26searchSource%3dE%26pageView%3d%26beginIndex%3d45,7.99,4201,None Available,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDetailInStore?ItemCode=000004201&catalogId=10051&storeId=10051&langId=-1&prodlistCatId=1334030&parent_category_rn=1334028&ProdName=Fulton%27s%20Harvest%20Pumpkin%20Pie%20Cream%20Liqueur%2025%20Proof&fromURL=/webapp/wcs/stores/servlet/CatalogSearchResultView?storeId=10051%26catalogId=10051%26langId=-1%26categoryId=1334030%26categoryType=%26top_category=%26parent_category_rn=%26sortBy=5%26searchSource=E%26pageView=%26beginIndex=45,,,,,,,,,
306,306,Mark West Chardonnay California,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDisplay?catalogId=10051&storeId=10051&productId=1941940&langId=-1&partNumber=000004334prod&errorViewName=ProductDisplayErrorView&categoryId=1334028&top_category=1334028&parent_category_rn=1334028&urlLangId=&categoryType=Wines&fromURL=%2fwebapp%2fwcs%2fstores%2fservlet%2fCatalogSearchResultView%3fstoreId%3d10051%26catalogId%3d10051%26langId%3d-1%26categoryId%3d1334028%26categoryType%3d%26top_category%3d%26parent_category_rn%3d%26sortBy%3d5%26searchSource%3dE%26pageView%3d%26beginIndex%3d0,6.49,4334,None Available,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDetailInStore?ItemCode=000004334&catalogId=10051&storeId=10051&langId=-1&prodlistCatId=1334028&parent_category_rn=1334028&ProdName=Mark%20West%20Chardonnay%20California&fromURL=/webapp/wcs/stores/servlet/CatalogSearchResultView?storeId=10051%26catalogId=10051%26langId=-1%26categoryId=1334028%26categoryType=%26top_category=%26parent_category_rn=%26sortBy=5%26searchSource=E%26pageView=%26beginIndex=0,,,,,,,,,
307,307,Acacia Chardonnay California,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDisplay?catalogId=10051&storeId=10051&productId=1941972&langId=-1&partNumber=000004358prod&errorViewName=ProductDisplayErrorView&categoryId=1334028&top_category=1334028&parent_category_rn=1334028&urlLangId=&categoryType=Wines&fromURL=%2fwebapp%2fwcs%2fstores%2fservlet%2fCatalogSearchResultView%3fstoreId%3d10051%26catalogId%3d10051%26langId%3d-1%26categoryId%3d1334028%26categoryType%3d%26top_category%3d%26parent_category_rn%3d%26sortBy%3d5%26searchSource%3dE%26pageView%3d%26beginIndex%3d0,11.49,4358,None Available,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDetailInStore?ItemCode=000004358&catalogId=10051&storeId=10051&langId=-1&prodlistCatId=1334028&parent_category_rn=1334028&ProdName=Acacia%20Chardonnay%20California&fromURL=/webapp/wcs/stores/servlet/CatalogSearchResultView?storeId=10051%26catalogId=10051%26langId=-1%26categoryId=1334028%26categoryType=%26top_category=%26parent_category_rn=%26sortBy=5%26searchSource=E%26pageView=%26beginIndex=0,,,,,,,,,
308,308,Absolut Vanilia Vodka 80 Proof,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDisplay?catalogId=10051&storeId=10051&productId=1942098&langId=-1&partNumber=000004471prod&errorViewName=ProductDisplayErrorView&categoryId=1334028&top_category=1334028&parent_category_rn=1334028&urlLangId=&categoryType=Spirits&fromURL=%2fwebapp%2fwcs%2fstores%2fservlet%2fCatalogSearchResultView%3fstoreId%3d10051%26catalogId%3d10051%26langId%3d-1%26categoryId%3d1334028%26categoryType%3d%26top_category%3d%26parent_category_rn%3d%26sortBy%3d5%26searchSource%3dE%26pageView%3d%26beginIndex%3d330,1.49,4471,None Available,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDetailInStore?ItemCode=000004471&catalogId=10051&storeId=10051&langId=-1&prodlistCatId=1334028&parent_category_rn=1334028&ProdName=Absolut%20Vanilia%20Vodka%2080%20Proof&fromURL=/webapp/wcs/stores/servlet/CatalogSearchResultView?storeId=10051%26catalogId=10051%26langId=-1%26categoryId=1334028%26categoryType=%26top_category=%26parent_category_rn=%26sortBy=5%26searchSource=E%26pageView=%26beginIndex=330,14,16,16,15,5,16,,,
309,309,Hayes Valley Sauvignon Blanc Central Coast,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDisplay?catalogId=10051&storeId=10051&productId=1942150&langId=-1&partNumber=000004512prod&errorViewName=ProductDisplayErrorView&categoryId=1334028&top_category=1334028&parent_category_rn=1334028&urlLangId=&categoryType=Wines&fromURL=%2fwebapp%2fwcs%2fstores%2fservlet%2fCatalogSearchResultView%3fstoreId%3d10051%26catalogId%3d10051%26langId%3d-1%26categoryId%3d1334028%26categoryType%3d%26top_category%3d%26parent_category_rn%3d%26sortBy%3d5%26searchSource%3dE%26pageView%3d%26beginIndex%3d90,6.49,4512,None Available,https://www.finewineandgoodspirits.com/webapp/wcs/stores/servlet/ProductDetailInStore?ItemCode=000004512&catalogId=10051&storeId=10051&langId=-1&prodlistCatId=1334028&parent_category_rn=1334028&ProdName=Hayes%20Valley%20Sauvignon%20Blanc%20Central%20Coast&fromURL=/webapp/wcs/stores/servlet/CatalogSearchResultView?storeId=10051%26catalogId=10051%26langId=-1%26categoryId=1334028%26categoryType=%26top_category=%26parent_category_rn=%26sortBy=5%26searchSource=E%26pageView=%26beginIndex=90,14,16,16,,,,,,
